predictive_score,relevancy_score,students,reviews,duration,rating,p_level_all,p_level_int,p_level_beg,p_level_exp,last_updated,list_price,cat_match,subcat_match,topic_match,is_free
5.6211596,1362.5438,9492.0,1105.0,12.5,4.42,0,1,0,0,24.0,149.99,0,0.0,0,0
5.3786855,1077.2661,70.0,4.0,0.0,4.3,0,0,1,0,356.0,39.99,0,0.0,0,0
5.3840766,1054.9517,411.0,5.0,3.5,4.83,1,0,0,0,299.0,34.99,0,0.0,0,0
5.486086,1052.6901,18164.0,181.0,9.0,4.4,0,0,1,0,233.0,29.99,0,0.0,0,0
5.3640046,1056.6619,2510.0,15.0,1.5,4.05,0,1,0,0,170.0,29.99,1,1.0,0,0
5.400288,1350.5386,2052.0,23.0,0.0,3.48,1,0,0,0,62.0,19.99,0,0.0,1,0
5.4008093,1342.6011,3333.0,2.0,0.0,5.0,1,0,0,0,218.0,19.99,0,0.0,0,0
5.369354,1052.248,35.0,5.0,0.0,3.64,0,0,0,1,28.0,19.99,0,0.0,0,0
5.452753,1365.227,3323.0,12.0,0.0,4.41,1,0,0,0,62.0,19.99,0,0.0,0,0
5.4216003,1050.7712,33.0,5.0,12.0,4.88,0,1,0,0,49.0,99.99,0,0.0,0,0
5.477298,1051.4833,32642.0,107.0,26.0,4.31,1,0,0,0,5.0,129.99,1,1.0,0,0
5.551302400000001,1363.3732,2600.0,108.0,21.0,4.3,0,1,0,0,24.0,139.99,0,0.0,0,0
5.3362255,1459.0895,0.0,0.0,0.0,0.0,1,0,0,0,21.0,79.98999999999998,0,0.0,1,0
5.417901,1335.3903,3760.0,86.0,1.5,4.46,1,0,0,0,2392.0,19.99,1,0.0,1,0
5.3578706,1052.4388,6084.0,606.0,15.0,4.47,0,1,0,0,471.0,19.99,1,1.0,0,0
5.105114,1041.7036,4967.0,1024.0,10.0,4.29,0,0,1,0,25.0,44.99,1,0.0,0,0
5.412497,1056.6666,1909.0,196.0,20.0,4.56,1,0,0,0,851.0,49.99,1,1.0,1,0
5.329976,1042.7823,682.0,4.0,2.5,4.26,0,0,1,0,1543.0,49.99,1,1.0,1,0
5.5086765,1053.1626,1105.0,185.0,5.0,4.76,1,0,0,0,177.0,19.99,1,1.0,1,0
5.352832,1050.2421,459.0,51.0,5.0,4.32,1,0,0,0,285.0,34.99,1,1.0,1,0
5.3610125,1045.1682,311.0,20.0,1.5,4.39,1,0,0,0,1815.0,19.99,1,1.0,1,0
5.4941874,1057.228,956.0,121.0,6.0,4.71,1,0,0,0,165.0,19.99,1,1.0,0,0
5.4271994,1051.1772,421.0,41.0,3.5,4.41,1,0,0,0,177.0,19.99,1,1.0,1,0
5.400159,1046.636,102.0,7.0,2.5,4.2,1,0,0,0,390.0,29.99,1,1.0,1,0
5.438062,1057.4214,569.0,60.0,3.5,4.59,1,0,0,0,177.0,19.99,1,1.0,1,0
5.3224907,1048.2758,37.0,3.0,6.5,4.5,1,0,0,0,1430.0,49.99,1,1.0,0,0
5.354956,1043.2373,226.0,21.0,5.0,4.3,1,0,0,0,1155.0,19.99,1,1.0,1,0
5.368476,1040.1884,35.0,6.0,2.0,4.62,0,1,0,0,1297.0,19.99,1,1.0,1,0
5.3578353,1047.0117,196.0,40.0,4.5,4.37,0,0,1,0,1279.0,19.99,1,1.0,1,0
5.435029,1058.1437,115.0,9.0,9.0,4.57,1,0,0,0,281.0,19.99,1,1.0,1,0
5.427464,1048.4438,136.0,13.0,2.5,4.3,1,0,0,0,177.0,19.99,1,1.0,1,0
5.4060516,1062.6517,242.0,26.0,2.5,4.64,1,0,0,0,134.0,19.99,1,1.0,1,0
5.352953,1056.1571,256.0,28.0,2.0,4.51,1,0,0,0,281.0,19.99,1,1.0,1,0
5.0801415,1040.9724,2062.0,268.0,13.5,4.31,1,0,0,0,44.0,39.99,0,0.0,0,0
5.0685606,1041.7633,25796.0,317.0,6.0,2.85,1,0,0,0,1245.0,199.99,0,0.0,0,0
5.061994,1043.1768,342.0,48.0,4.5,2.41,1,0,0,0,1112.0,199.99,0,0.0,0,0
5.0732727,1041.1365,810.0,15.0,1.5,4.32,0,0,1,0,1857.0,99.99,0,0.0,0,0
5.3377085,1045.3726,1442.0,21.0,4.5,4.72,1,0,0,0,214.0,19.99,1,1.0,1,0
5.3436418,1043.763,1147.0,16.0,5.0,4.24,1,0,0,0,192.0,19.99,1,1.0,1,0
5.0839086,1333.6335,1.0,0.0,6.0,0.0,1,0,0,0,997.0,199.99,0,0.0,0,0
5.0971184,1324.9661,1.0,0.0,5.0,0.0,1,0,0,0,992.0,199.99,0,0.0,0,0
5.0794086,1319.1595,1.0,0.0,6.5,0.0,1,0,0,0,981.0,199.99,0,0.0,0,0
5.3510914,1048.5863,283.0,12.0,1.5,4.06,0,1,0,0,330.0,19.99,1,1.0,1,0
5.279202,1334.1495,632.0,0.0,0.6,0.0,0,0,1,0,948.0,19.99,1,1.0,1,0
5.385356,1045.0665,1389.0,19.0,3.0,4.64,1,0,0,0,213.0,19.99,1,1.0,1,0
